Count,REP_ID,REP_PLOT,SERIES_NUM,COUNTRY_CODE,BROAD_HABITAT,loi,year,DOM_GRAIN,SOIL_GROUP,CACO3_RANK,northing,easting,latitude,longitude,time,LandCover,precip
49,1020X2,1020RPT11,1020,SCO,12,93.59372711,2007,SILT,ALL,NONE,814853.75,83651,57.11537944,-7.228210665,2007,10,1561
50,1020X3,1020RPT12,1020,SCO,10,94,1978,MEDIUM,LIGHT(SANDY),NONE,814409.3125,83245.42188,57.1111247,-7.234317441,1978,12,1561
51,1020X3,1020RPT12,1020,SCO,10,96.31503296,2007,MEDIUM,LIGHT(SANDY),NONE,814409.3125,83245.42188,57.1111247,-7.234317441,2007,12,1561
52,1020X3,1020RPT12,1020,SCO,10,96.77046967,1998,MEDIUM,LIGHT(SANDY),NONE,814409.3125,83245.42188,57.1111247,-7.234317441,1998,12,1561
53,1020X4,1020RPT13,1020,SCO,12,93,1978,SILT,ALL,NONE,814210.6875,83602.45313,57.10959345,-7.228196392,1978,10,1561
54,1020X4,1020RPT13,1020,SCO,12,95.16300201,1998,SILT,ALL,NONE,814210.6875,83602.45313,57.10959345,-7.228196392,1998,10,1561
55,1020X4,1020RPT13,1020,SCO,12,96.14704132,2007,SILT,ALL,NONE,814210.6875,83602.45313,57.10959345,-7.228196392,2007,10,1561
56,1020X5,1020RPT14,1020,SCO,10,95,1978,SILT,ALL,NONE,814359.625,83817.63281,57.11107366,-7.224846679,1978,10,1561
57,1020X5,1020RPT14,1020,SCO,10,96.51973724,1998,SILT,ALL,NONE,814359.625,83817.63281,57.11107366,-7.224846679,1998,10,1561
58,1020X5,1020RPT14,1020,SCO,10,94.81855774,2007,SILT,ALL,NONE,814359.625,83817.63281,57.11107366,-7.224846679,2007,10,1561
59,1025X1,1025RPT16,1025,SCO,12,24.42816925,2007,SAND,LIGHT(SANDY),NONE,817841.4375,192353.9219,57.20414918,-5.439393876,2007,8,2570
60,1025X2,1025RPT17,1025,SCO,12,71.57718658,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,817581.0625,192770.7969,57.20200312,-5.432289362,2007,8,2570
61,1025X3,1025RPT18,1025,SCO,12,93.34252167,2007,MUD,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817260.4375,192906.9219,57.19918966,-5.429773553,2007,8,2570
62,1025X4,1025RPT19,1025,SCO,10,59.50772858,2007,MUD,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817218.75,192449.3594,57.19860892,-5.437297598,2007,13,2570
63,1025X5,1025RPT20,1025,SCO,12,93.84858704,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,817595.8125,192156.9219,57.20185744,-5.442443454,2007,8,2570
64,1028X1,1028RPT13,1028,SCO,2,19,1978,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817842.375,237189.5,57.2222859,-4.698169356,1978,2,1120
65,1028X1,1028RPT13,1028,SCO,2,15.81223965,1998,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817842.375,237189.5,57.2222859,-4.698169356,1998,2,1120
66,1028X1,1028RPT13,1028,SCO,2,10.58209038,2007,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817842.375,237189.5,57.2222859,-4.698169356,2007,2,1120
67,1028X2,1028RPT14,1028,SCO,1,36.43233109,2007,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817751.75,237668.7188,57.22164287,-4.690183092,2007,11,1120
68,1028X2,1028RPT14,1028,SCO,1,13,1978,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817751.75,237668.7188,57.22164287,-4.690183092,1978,11,1120
69,1028X2,1028RPT14,1028,SCO,1,18.2165699,1998,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817751.75,237668.7188,57.22164287,-4.690183092,1998,11,1120
70,1028X3,1028RPT27,1028,SCO,2,46.27563095,1998,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817453.25,237226.1563,57.21880734,-4.697308033,1998,2,1120
71,1028X3,1028RPT15,1028,SCO,2,43,1978,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817453.25,237226.1563,57.21880734,-4.697308033,1978,2,1120
72,1028X3,1028RPT15,1028,SCO,2,56.95349884,2007,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817453.25,237226.1563,57.21880734,-4.697308033,2007,2,1120
73,1028X4,1028RPT16,1028,SCO,1,42,1978,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817192.625,237604.6563,57.21660313,-4.690877285,1978,1,1120
74,1028X4,1028RPT16,1028,SCO,1,14.48246002,2007,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817192.625,237604.6563,57.21660313,-4.690877285,2007,1,1120
75,1028X4,1028RPT28,1028,SCO,1,7.577169895,1998,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817192.625,237604.6563,57.21660313,-4.690877285,1998,1,1120
76,1028X5,1028RPT17,1028,SCO,2,28.26172066,2007,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817367.8125,237847.2969,57.21826106,-4.686978563,2007,2,1120
77,1028X5,1028RPT17,1028,SCO,2,11.53448009,1998,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817367.8125,237847.2969,57.21826106,-4.686978563,1998,2,1120
78,1029X1,1029RPT10,1029,SCO,10,13.52760983,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817978.5625,252181.4063,57.22859415,-4.450220298,2007,5,922
79,1029X2,1029RPT11,1029,SCO,12,93.2307663,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817772.8125,252630.9531,57.22689256,-4.44265924,2007,11,922
80,1029X3,1029RPT12,1029,SCO,10,48.35361099,2007,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817315.625,252708.5781,57.22281441,-4.441103601,2007,14,922
81,1029X4,1029RPT13,1029,SCO,10,42.71648026,2007,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817125.1875,252449.2813,57.2210218,-4.445280531,2007,8,922
82,1029X5,1029RPT14,1029,SCO,12,58.63097,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817348.5,252173.1719,57.22293689,-4.449981436,2007,8,922
83,102X1,102RPT30,102,ENG,5,9.112099648,2007,SAND,MEDIUM(SILTY) TO LIGHT(SILTY),NONE,127929.7188,297142.375,51.04148481,-3.468518079,2007,4,1206
84,102X2,102RPT31,102,ENG,5,9.239899635,2007,UNKN,MEDIUM TO LIGHT(SILTY),NONE,127764.0469,297872.7188,51.04012598,-3.45805745,2007,4,1206
85,102X3,102RPT32,102,ENG,6,9.377568245,2007,UNKN,MEDIUM TO LIGHT(SILTY),NONE,127566.3984,297359,51.03825762,-3.465326206,2007,4,1206
86,102X4,102RPT33,102,ENG,5,11.96448994,2007,MUD,MEDIUM(SILTY),NONE,127456.8047,297092.1875,51.03722469,-3.469099194,2007,4,1206
87,102X5,102RPT34,102,ENG,5,9.81015873,2007,UNKN,MEDIUM TO LIGHT(SILTY),NONE,127193.9844,297672.9375,51.03496595,-3.460744822,2007,4,1206
88,1034X1,1034RPT11,1034,SCO,10,87.72405243,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817876.5,327357.6875,57.24579396,-3.205388794,2007,13,1443
